ingresso,titulo,codigo,cartao,situacao
2024/2,TÉCNICAS DE CONSTRUÇÃO DE PROGRAMAS,INF01120,12345678,Aprovado
2024/2,SISTEMAS DIGITAIS PARA COMPUTADORES A,INF01175,12345678,Aprovado
2024/2,COMPLEXIDADE DE ALGORITMOS - B,INF05515,12345678,Aprovado
2024/2,CÁLCULO NUMÉRICO A,MAT01032,12345678,Aprovado
2024/2,LINGUAGENS FORMAIS E AUTÔMATOS N,INF05005,12345678,Aprovado
2024/1,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II,INF01112,12345678,Aprovado
2024/1,CLASSIFICAÇÃO E PESQUISA DE DADOS,INF01124,12345678,Aprovado
2024/1,TEORIA DA COMPUTAÇÃO N,INF05501,12345678,Aprovado
2024/1,PROBABILIDADE E ESTATÍSTICA,MAT02219,12345678,Aprovado
2024/1,CIRCUITOS DIGITAIS,INF01058,12345678,Aprovado
2023/2,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,INF01108,12345678,Aprovado
2023/2,ESTRUTURAS DE DADOS,INF01203,12345678,Aprovado
2023/2,LÓGICA PARA COMPUTAÇÃO,INF05508,12345678,Aprovado
2023/2,TEORIA DOS GRAFOS E ANÁLISE COMBINATÓRIA,INF05512,12345678,Aprovado
2023/2,CÁLCULO E GEOMETRIA ANALÍTICA II - A,MAT01354,12345678,Aprovado
2023/2,ÁLGEBRA LINEAR I - A,MAT01355,12345678,Aprovado
2023/1,INTRODUÇÃO À ARQUITETURA DE COMPUTADORES,INF01107,12345678,Aprovado
2023/1,ALGORÍTMOS E PROGRAMAÇÃO - CIC,INF01202,12345678,Aprovado
2023/1,CÁLCULO E GEOMETRIA ANALÍTICA I - A,MAT01353,12345678,Aprovado
2023/1,MATEMÁTICA DISCRETA B,MAT01375,12345678,Aprovado
2023/1,FUNDAMENTOS DE ALGORITMOS,INF05008,12345678,Aprovado
